url,weekid,week_position,song,artist,songid,instance,previous_week_position,peak_position,weeks_on_chart,debut_position,year,month,genre
http://www.billboard.com/charts/hot-100/2002-09-21,9/21/2002,100,"My Neck, My Back",Khia Featuring DSD,"My Neck, My BackKhia Featuring DSD",1,99,42,18,83,2002,9,
http://www.billboard.com/charts/hot-100/2001-03-03,3/3/2001,62,My Next Thirty Years,Tim McGraw,My Next Thirty YearsTim McGraw,1,58,27,20,73,2001,3,
http://www.billboard.com/charts/hot-100/2006-03-04,3/4/2006,94,My Old Friend,Tim McGraw,My Old FriendTim McGraw,2,79,79,13,97,2006,3,
http://www.billboard.com/charts/hot-100/2004-12-04,12/4/2004,61,My Place,Nelly Featuring Jaheim,My PlaceNelly Featuring Jaheim,1,52,4,20,69,2004,12,
http://www.billboard.com/charts/hot-100/2009-03-07,3/7/2009,87,My President,Young Jeezy Featuring Nas,My PresidentYoung Jeezy Featuring Nas,2,76,53,6,92,2009,3,
http://www.billboard.com/charts/hot-100/2001-09-29,9/29/2001,97,My Projects,Coo Coo Cal,My ProjectsCoo Coo Cal,1,92,81,9,98,2001,9,
http://www.billboard.com/charts/hot-100/2002-05-11,5/11/2002,49,My Sacrifice,Creed,My SacrificeCreed,1,37,4,29,50,2002,5,
http://www.billboard.com/charts/hot-100/2005-07-30,7/30/2005,93,My Sister,Reba McEntire,My SisterReba McEntire,1,98,93,4,96,2005,7,
http://www.billboard.com/charts/hot-100/2002-02-02,2/2/2002,94,My Sweet Lord,George Harrison,My Sweet LordGeorge Harrison,1,,94,1,94,2002,2,
http://www.billboard.com/charts/hot-100/2003-02-08,2/8/2003,97,My Town,Montgomery Gentry,My TownMontgomery Gentry,1,97,40,20,69,2003,2,
http://www.billboard.com/charts/hot-100/2001-07-28,7/28/2001,100,My Way,Limp Bizkit,My WayLimp Bizkit,1,95,75,14,81,2001,7,
http://www.billboard.com/charts/hot-100/2007-02-03,2/3/2007,51,My Wish,Rascal Flatts,My WishRascal Flatts,1,49,28,20,99,2007,2,
http://www.billboard.com/charts/hot-100/2007-02-10,2/10/2007,87,"My, Oh My",The Wreckers,"My, Oh MyThe Wreckers",1,90,87,3,94,2007,2,
http://www.billboard.com/charts/hot-100/2005-03-19,3/19/2005,100,N Dey Say,Nelly,N Dey SayNelly,1,83,64,7,69,2005,3,
http://www.billboard.com/charts/hot-100/2003-09-13,9/13/2003,93,Na Na Na,112 Featuring Super Cat,Na Na Na112 Featuring Super Cat,1,75,75,6,86,2003,9,
http://www.billboard.com/charts/hot-100/2005-08-27,8/27/2005,90,Nada Es Para Siempre,Luis Fonsi,Nada Es Para SiempreLuis Fonsi,1,,90,1,90,2005,8,
http://www.billboard.com/charts/hot-100/2003-11-29,11/29/2003,90,Naggin,Ying Yang Twins,NagginYing Yang Twins,1,90,87,10,95,2003,11,
http://www.billboard.com/charts/hot-100/2005-11-26,11/26/2005,95,Naked,Marques Houston,NakedMarques Houston,1,86,47,14,89,2005,11,
http://www.billboard.com/charts/hot-100/2004-11-13,11/13/2004,98,Nasty Girl,Nitty,Nasty GirlNitty,1,93,87,9,95,2004,11,
http://www.billboard.com/charts/hot-100/2006-03-25,3/25/2006,90,Nasty Girl,"The Notorious B.I.G. Featuring Diddy, Nelly, Jagged Edge & Avery Storm","Nasty GirlThe Notorious B.I.G. Featuring Diddy, Nelly, Jagged Edge & Avery Storm",1,78,44,15,92,2006,3,
http://www.billboard.com/charts/hot-100/2004-08-21,8/21/2004,47,Naughty Girl,Beyonce,Naughty GirlBeyonce,1,44,3,22,68,2004,8,
http://www.billboard.com/charts/hot-100/2006-12-09,12/9/2006,85,Need A Boss,Shareefa Featuring Ludacris,Need A BossShareefa Featuring Ludacris,1,78,62,18,91,2006,12,
http://www.billboard.com/charts/hot-100/2008-12-13,12/13/2008,81,Need U Bad,Jazmine Sullivan,Need U BadJazmine Sullivan,1,64,37,20,73,2008,12,
http://www.billboard.com/charts/hot-100/2009-12-26,12/26/2009,19,Need You Now,Lady Antebellum,Need You NowLady Antebellum,1,16,5,18,85,2009,12,
http://www.billboard.com/charts/hot-100/2004-04-17,4/17/2004,95,Neva Eva,Trillville,Neva EvaTrillville,1,95,77,18,99,2004,4,
http://www.billboard.com/charts/hot-100/2003-12-13,12/13/2003,100,Never (Past Tense),The Roc Project Featuring Tina Arena,Never (Past Tense)The Roc Project Featuring Tina Arena,2,99,97,5,98,2003,12,
http://www.billboard.com/charts/hot-100/2007-08-25,8/25/2007,82,Never Again,Kelly Clarkson,Never AgainKelly Clarkson,1,67,8,16,8,2007,8,
http://www.billboard.com/charts/hot-100/2009-06-13,6/13/2009,99,Never Ever,Ciara Featuring Young Jeezy,Never EverCiara Featuring Young Jeezy,1,100,66,15,96,2009,6,
http://www.billboard.com/charts/hot-100/2009-12-26,12/26/2009,61,Never Gonna Be Alone,Nickelback,Never Gonna Be AloneNickelback,2,62,61,7,68,2009,12,
http://www.billboard.com/charts/hot-100/2001-07-14,7/14/2001,62,Never Had A Dream Come True,S Club 7,Never Had A Dream Come TrueS Club 7,1,64,10,20,61,2001,7,
http://www.billboard.com/charts/hot-100/2003-10-11,10/11/2003,47,"Never Leave You - Uh Ooh, Uh Oooh!",Lumidee,"Never Leave You - Uh Ooh, Uh Oooh!Lumidee",1,36,3,20,61,2003,10,
