weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart
8/30/2008,65,All Summer Long,Hit Masters,All Summer LongHit Masters,1,,65,1
7/19/2008,80,All Summer Long,Kid Rock,All Summer LongKid Rock,1,,80,1
10/4/2008,38,All Summer Long,The Rock Heroes,All Summer LongThe Rock Heroes,1,,38,1
3/14/2009,54,All The Above,Maino Featuring T-Pain,All The AboveMaino Featuring T-Pain,1,,54,1
10/24/2009,58,All The Right Moves,OneRepublic,All The Right MovesOneRepublic,1,,58,1
1/4/2003,85,All The Things She Said,t.A.T.u.,All The Things She Saidt.A.T.u.,1,,85,1
8/27/2005,95,All These Things That I've Done,The Killers,All These Things That I've DoneThe Killers,1,,95,1
2/23/2002,67,All You Wanted,Michelle Branch,All You WantedMichelle Branch,1,,67,1
1/19/2008,84,All-American Girl,Carrie Underwood,All-American GirlCarrie Underwood,1,,84,1
5/31/2003,71,Almost Home,Craig Morgan,Almost HomeCraig Morgan,1,,71,1
2/19/2005,95,Almost,Bowling For Soup,AlmostBowling For Soup,1,,95,1
10/17/2009,51,Alone,Glee Cast Featuring Kristin Chenoweth,AloneGlee Cast Featuring Kristin Chenoweth,1,,51,1
12/27/2003,95,Alone,Lasgo,AloneLasgo,1,,95,1
3/28/2009,70,Already Gone,Kelly Clarkson,Already GoneKelly Clarkson,1,,70,1
10/11/2008,99,Already Gone,Sugarland,Already GoneSugarland,1,,99,1
5/30/2009,91,Alright,Darius Rucker,AlrightDarius Rucker,1,,91,1
6/7/2008,67,Always Be My Baby,David Cook,Always Be My BabyDavid Cook,1,,67,1
11/17/2001,84,Always On Time,Ja Rule Featuring Ashanti,Always On TimeJa Rule Featuring Ashanti,1,,84,1
3/18/2006,35,Always On Your Side,Sheryl Crow & Sting,Always On Your SideSheryl Crow & Sting,1,,35,1
4/4/2009,65,Always Strapped,Birdman Featuring Lil Wayne,Always StrappedBirdman Featuring Lil Wayne,1,,65,1
4/4/2009,97,Always The Love Songs,Eli Young Band,Always The Love SongsEli Young Band,1,,97,1
12/14/2002,70,Always,Saliva,AlwaysSaliva,1,,70,1
1/13/2007,86,Alyssa Lies,Jason Michael Carroll,Alyssa LiesJason Michael Carroll,1,,86,1
8/25/2001,99,AM To PM,Christina Milian,AM To PMChristina Milian,1,,99,1
10/28/2006,100,Amarillo Sky,Jason Aldean,Amarillo SkyJason Aldean,1,,100,1
8/9/2003,96,Amazing,Josh Kelley,AmazingJosh Kelley,1,,96,1
